shape,cut,color,clarity,report,type
Round,Very Good,J,SI2,GIA,natural
Emerald,Ideal,I,SI1,GIA,natural
Emerald,Ideal,I,VS2,GIA,natural
Round,Ideal,I,SI2,GIA,natural
Emerald,Ideal,I,SI1,GIA,natural
Emerald,Ideal,E,SI2,GIA,natural
Round,Ideal,J,SI2,GIA,natural
Round,Very Good,J,SI2,GIA,natural
Marquise,Ideal,J,VS2,GIA,natural
Emerald,Ideal,I,VVS1,GIA,natural
Round,Ideal,J,SI1,GIA,natural
Round,Very Good,J,SI2,GIA,natural
Round,Very Good,I,SI2,GIA,natural
Round,Very Good,J,SI2,GIA,natural
Round,Very Good,J,SI2,GIA,natural
Emerald,Ideal,I,VS2,GIA,natural
Round,Very Good,J,SI1,GIA,natural
Round,Very Good,J,SI2,GIA,natural
Emerald,Ideal,E,SI2,GIA,natural
Emerald,Very Good,J,VS1,GIA,natural
Round,Very Good,F,SI2,GIA,natural
Princess,Ideal,G,SI2,GIA,natural
Round,Super Ideal,J,SI2,GIA,natural
Round,Very Good,I,SI2,GIA,natural
Pear,Ideal,I,SI1,GIA,natural
Round,Very Good,J,SI2,GIA,natural
Round,Very Good,J,SI1,GIA,natural
Emerald,Ideal,J,VS1,GIA,natural
Round,Super Ideal,I,SI2,GIA,natural
Emerald,Ideal,I,SI1,GIA,natural
Round,Very Good,J,SI2,GIA,natural
Round,Very Good,I,SI2,GIA,natural
Princess,Ideal,J,SI2,GIA,natural
Pear,Ideal,I,SI1,GIA,natural
Marquise,Good,F,SI1,GIA,natural
Round,Very Good,J,SI1,GIA,natural
Round,Ideal,I,SI1,GIA,natural
Emerald,Ideal,F,SI2,GIA,natural
Emerald,Ideal,J,SI1,GIA,natural
Emerald,Very Good,G,SI1,GIA,natural
Emerald,Super Ideal,J,VS1,GIA,natural
Emerald,Ideal,F,SI2,GIA,natural
Emerald,Ideal,F,SI2,GIA,natural
Round,Very Good,J,SI1,GIA,natural
Emerald,Ideal,J,VS2,GIA,natural
Emerald,Ideal,H,SI1,GIA,natural
Emerald,Ideal,F,SI2,GIA,natural
Round,Super Ideal,I,SI1,GIA,natural
Round,Very Good,I,SI1,GIA,natural
Round,Super Ideal,I,SI2,GIA,natural
Round,Ideal,G,SI2,GIA,natural
Round,Very Good,J,VS2,GIA,natural
Emerald,Ideal,F,SI2,GIA,natural
Round,Super Ideal,I,SI2,GIA,natural
Princess,Ideal,E,SI1,GIA,natural
Round,Super Ideal,I,SI1,GIA,natural
Round,Super Ideal,J,SI1,GIA,natural
Round,Super Ideal,J,SI1,GIA,natural
Round,Ideal,I,SI1,GIA,natural
Round,Super Ideal,I,SI2,GIA,natural
Round,Ideal,J,SI2,GIA,natural
Round,Super Ideal,I,SI2,GIA,natural
Round,Very Good,J,SI2,GIA,natural
Round,Ideal,J,SI2,GIA,natural
Round,Super Ideal,J,SI2,GIA,natural
Pear,Good,I,VS2,GIA,natural
Round,Super Ideal,J,SI1,GIA,natural
Emerald,Ideal,F,SI2,GIA,natural
Round,Very Good,I,SI2,GIA,natural
Emerald,Ideal,F,SI1,GIA,natural
Round,Very Good,I,SI1,GIA,natural
Marquise,Ideal,I,SI1,GIA,natural
Emerald,Ideal,F,SI2,GIA,natural
Marquise,Ideal,F,SI2,GIA,natural
Round,Super Ideal,J,SI1,GIA,natural
Emerald,Ideal,D,SI2,GIA,natural
Emerald,Very Good,F,SI1,GIA,natural
Round,Ideal,I,VS2,GIA,natural
Round,Ideal,J,VS2,GIA,natural
Round,Super Ideal,J,SI1,GIA,natural
Round,Very Good,J,SI1,GIA,natural
Pear,Ideal,I,SI1,GIA,natural
Princess,Super Ideal,I,SI1,GIA,natural
Emerald,Super Ideal,G,SI2,GIA,natural
Round,Good,H,SI2,GIA,natural
Round,Ideal,I,VS2,GIA,natural
Round,Very Good,F,SI2,GIA,natural
Round,Ideal,H,SI2,GIA,natural
Round,Very Good,J,SI1,GIA,natural
Round,Ideal,I,SI2,GIA,natural
Round,Super Ideal,H,SI2,GIA,natural
Round,Good,I,VS2,GIA,natural
Emerald,Ideal,F,SI1,GIA,natural
Round,Good,H,SI1,GIA,natural
Round,Very Good,I,VS2,GIA,natural
Round,Super Ideal,I,VS2,GIA,natural
Round,Super Ideal,I,SI1,GIA,natural
Round,Super Ideal,I,SI2,GIA,natural
Round,Very Good,I,SI1,GIA,natural
Round,Super Ideal,J,SI2,GIA,natural
Emerald,Very Good,F,SI1,GIA,natural
Emerald,Ideal,G,SI1,GIA,natural
Princess,Ideal,I,VS1,GIA,natural
Round,Very Good,G,SI2,GIA,natural
Round,Ideal,J,SI1,GIA,natural
Round,Ideal,F,SI2,GIA,natural
Round,Very Good,J,VS2,GIA,natural
Pear,Ideal,J,VS2,GIA,natural
Round,Super Ideal,J,SI2,GIA,natural
Emerald,Ideal,J,VS1,GIA,natural
Emerald,Ideal,E,SI2,GIA,natural
Marquise,Ideal,I,VS2,GIA,natural
Emerald,Ideal,I,VS1,GIA,natural
Marquise,Very Good,F,SI1,GIA,natural
Round,Super Ideal,J,VS2,GIA,natural
Round,Super Ideal,J,VS2,GIA,natural
Round,Very Good,F,SI2,GIA,natural
Round,Super Ideal,J,VS2,GIA,natural
Round,Very Good,E,SI2,GIA,natural
Round,Ideal,J,SI2,GIA,natural
Round,Very Good,I,SI1,GIA,natural
Princess,Ideal,J,VVS1,GIA,natural
Emerald,Ideal,E,SI2,GIA,natural
Emerald,Super Ideal,I,VS2,GIA,natural
Round,Very Good,J,VS2,GIA,natural
Round,Very Good,H,SI1,GIA,natural
Round,Ideal,I,VS2,GIA,natural
Round,Very Good,E,SI2,GIA,natural
Round,Super Ideal,I,VS2,GIA,natural
Round,Super Ideal,F,SI2,GIA,natural
Round,Very Good,J,SI1,GIA,natural
Round,Super Ideal,J,SI1,GIA,natural
Round,Super Ideal,J,SI1,GIA,natural
Pear,Very Good,I,VS1,GIA,natural
Pear,Ideal,I,SI1,GIA,natural
Round,Super Ideal,J,SI2,GIA,natural
Round,Ideal,J,SI1,GIA,natural
Pear,Ideal,I,SI1,GIA,natural
Emerald,Ideal,I,SI1,GIA,natural
Round,Ideal,J,SI2,GIA,natural
Round,Super Ideal,I,SI2,GIA,natural
Round,Ideal,J,VVS1,GIA,natural
Round,Super Ideal,J,SI2,GIA,natural
Round,Super Ideal,I,SI1,GIA,natural
Round,Super Ideal,I,SI1,GIA,natural
Round,Very Good,J,SI1,GIA,natural
Round,Very Good,J,SI2,GIA,natural
Round,Ideal,E,SI2,GIA,natural
Round,Very Good,I,SI2,GIA,natural
Round,Ideal,J,SI1,GIA,natural
Round,Ideal,J,SI2,GIA,natural
Round,Ideal,I,SI2,GIA,natural
Emerald,Ideal,I,VVS2,GIA,natural
Emerald,Ideal,I,VVS1,GIA,natural
Emerald,Ideal,G,SI1,GIA,natural
Emerald,Ideal,H,SI1,GIA,natural
Emerald,Ideal,I,VS1,GIA,natural
Marquise,Ideal,G,SI1,GIA,natural
Emerald,Ideal,I,SI1,GIA,natural
Round,Very Good,I,SI1,GIA,natural
Round,Ideal,J,VS1,GIA,natural
Round,Super Ideal,J,SI1,GIA,natural
Round,Very Good,I,SI1,GIA,natural
Round,Ideal,I,VS2,GIA,natural
Round,Super Ideal,J,SI2,GIA,natural
Round,Very Good,H,SI1,GIA,natural
Round,Very Good,I,SI2,GIA,natural
Round,Super Ideal,J,VS1,GIA,natural
Round,Ideal,I,SI1,GIA,natural
Round,Very Good,J,SI1,GIA,natural
Emerald,Very Good,G,SI1,GIA,natural
